freq_confoc,freq_non_confoc,volt_laser
-1227271171.1254292,-1215135591.1336389,0.0035698544
-1227150394.2278147,-1215015502.5407853,0.0035698544
-1227029615.5154972,-1214895412.1247935,0.0035698544
-1226908834.988473,-1214775319.8856597,0.0007809098
-1226788052.6467447,-1214655225.8233876,0.0004090504
-1226667268.4903107,-1214535129.9379745,0.0035698544
-1226546482.5191708,-1214415032.229422,0.0007809098
-1226425694.733327,-1214294932.6977296,-0.0023798943
-1226304905.1327763,-1214174831.342897,-0.0023798943
-1226184113.7175217,-1214054728.1649241,0.0004090504
-1226063320.4875622,-1213934623.163813,0.0007809098
-1225942525.442896,-1213814516.33956,-0.0023798943
-1225821728.5835266,-1213694407.6921687,0.0004090504
-1225700929.9094505,-1213574297.2216363,0.0035698544
-1225580129.4206705,-1213454184.9279637,0.0035698544
-1225459327.1171827,-1213334070.811152,0.0035698544
-1225338522.998991,-1213213954.8712,0.0007809098
-1225217717.0660954,-1213093837.108108,0.0004090504
-1225096909.3184938,-1212973717.5218778,0.0035698544
-1224976099.7561884,-1212853596.1125073,0.0035698544
-1224855288.3791752,-1212733472.8799949,0.0035698544
-1224734475.187459,-1212613347.824345,0.0035698544
-1224613660.181036,-1212493220.9455533,0.0063587991
-1224492843.359908,-1212373092.2436223,0.0067306584
-1224372024.7240753,-1212252961.7185512,0.0035698544
-1224251204.2735376,-1212132829.3703399,0.0035698544
-1224130382.008295,-1212012695.1989894,0.0035698544
-1224009557.9283466,-1211892559.2044988,0.0035698544
-1223888732.0336924,-1211772421.386869,0.0035698544
-1223767904.3243341,-1211652281.746098,0.0007809098
-1223647074.80027,-1211532140.282188,-0.0023798943
-1223526243.4615002,-1211411996.9951377,0.0004090504
-1223405410.3080273,-1211291851.8849483,0.0035698544
-1223284575.3398476,-1211171704.9516177,0.0035698544
-1223163738.556963,-1211051556.195148,0.0035698544
-1223042899.9593725,-1210931405.6155381,0.0035698544
-1222922059.5470762,-1210811253.2127872,0.0035698544
-1222801217.320077,-1210691098.986899,0.0035698544
-1222680373.2783718,-1210570942.9378695,0.0007809098
-1222559527.4219618,-1210450785.0657,0.0004090504
-1222438679.750845,-1210330625.3703895,0.0035698544
-1222317830.2650251,-1210210463.8519425,0.0035698544
-1222196978.9644976,-1210090300.5103526,0.0035698544
-1222076125.849267,-1209970135.3456244,0.0035698544
-1221955270.9193296,-1209849968.3577542,0.0035698544
-1221834414.1746883,-1209729799.5467458,0.0035698544
-1221713555.6153421,-1209609628.9125972,0.0007809098
-1221592695.2412891,-1209489456.4553084,0.0004090504
-1221471833.0525312,-1209369282.1748796,0.0035698544
-1221350969.0490694,-1209249106.0713115,0.0035698544
-1221230103.2309008,-1209128928.1446033,0.0063587991
-1221109235.5980291,-1209008748.3947558,0.0067306584
-1220988366.1504498,-1208888566.8217664,0.0007809098
-1220867494.8881674,-1208768383.4256396,0.0004090504
-1220746621.8111792,-1208648198.2063718,0.0035698544
-1220625746.9194841,-1208528011.1639628,0.0007809098
-1220504870.2130861,-1208407822.2984166,0.0004090504
-1220383991.6919823,-1208287631.6097283,0.0035698544
-1220263111.3561726,-1208167439.0979,0.0035698544
-1220142229.205658,-1208047244.7629333,0.0035698544
-1220021345.2404375,-1207927048.6048245,0.0063587991
-1219900459.460514,-1207806850.6235785,0.0067306584
-1219779571.8658829,-1207686650.8191915,0.0007809098
-1219658682.4565477,-1207566449.1916642,0.0004090504
-1219537791.2325068,-1207446245.7409968,0.0007809098
-1219416898.1937628,-1207326040.4671922,0.0004090504
-1219296003.340311,-1207205833.3702445,0.0035698544
-1219175106.6721563,-1207085624.4501586,0.0063587991
-1219054208.1892939,-1206965413.7069316,0.0067306584
-1218933307.8917274,-1206845201.1405654,0.0035698544
-1218812405.7794552,-1206724986.751058,0.0035698544
-1218691501.85248,-1206604770.5384126,0.0007809098
-1218570596.110798,-1206484552.502626,0.0004090504
-1218449688.554411,-1206364332.6437001,0.0035698544
-1218328779.1833181,-1206244110.9616332,0.0035698544
-1218207867.9975214,-1206123887.45643,0.0035698544
-1218086954.9970179,-1206003662.1280837,0.0007809098
-1217966040.1818094,-1205883434.9765973,-0.0023798943
-1217845123.551897,-1205763206.0019717,0.0004090504
-1217724205.1072779,-1205642975.204206,0.0035698544
-1217603284.8479557,-1205522742.583301,0.0007809098
-1217482362.7739267,-1205402508.139256,-0.0023798943
-1217361438.885192,-1205282271.8720698,0.0004090504
-1217240513.1817532,-1205162033.7817454,0.0035698544
